alpha,learning_rate,max_depth,min_split_loss,n_estimators,mean_test_score,mean_train_score
0,0.1,5,5,70,-0.409699284426288,-0.22802855029830135
0,0.1,5,5,100,-0.4096994139119145,-0.2280285829598172
0,0.1,5,10,10,-0.6416267301920588,-0.5119505627223491
0,0.1,5,10,30,-0.45373374442199366,-0.279864552416729
0,0.1,5,10,50,-0.4195965418981301,-0.2503907349060829
0,0.1,5,10,70,-0.41959605288744106,-0.2503907352467021
0,0.1,5,10,100,-0.4195960295293821,-0.2503907932609753
0,0.1,7,0,10,-0.5913857450812231,-0.42055697998159525
0,0.1,7,0,30,-0.4348888414522033,-0.1860165719821016
0,0.1,7,0,50,-0.413617844492374,-0.1390765149631176
0,0.1,7,0,70,-0.41098593866512817,-0.11542298359752319
0,0.1,7,0,100,-0.41153848773839324,-0.09303629470595509
0,0.1,7,1,10,-0.5923835598357079,-0.4202186324739926
0,0.1,7,1,30,-0.4354372271684639,-0.1884428894260978
0,0.1,7,1,50,-0.4114120882241695,-0.1457997868485408
0,0.1,7,1,70,-0.409118216249673,-0.1415943570905005
0,0.1,7,1,100,-0.4091195949598405,-0.14159435533687484
0,0.1,7,5,10,-0.5936516229634783,-0.42903862123898334
0,0.1,7,5,30,-0.43200804328338693,-0.21459558592416542
0,0.1,7,5,50,-0.41406235866063196,-0.19571158252239873
0,0.1,7,5,70,-0.41406129024521743,-0.19571157983676887
0,0.1,7,5,100,-0.41406113588196564,-0.19571162437403783
0,0.1,7,10,10,-0.5973836565985579,-0.4437840055644651
0,0.1,7,10,30,-0.4360442974158697,-0.23803219915700233
0,0.1,7,10,50,-0.42585246556487377,-0.22683947098647933
0,0.1,7,10,70,-0.4258528262033886,-0.22683946250206066
0,0.1,7,10,100,-0.4258529166652753,-0.22683952969817606
0,0.1,10,0,10,-0.5775570862735872,-0.3125535811133243
0,0.1,10,0,30,-0.444401256473091,-0.07712721503480263
0,0.1,10,0,50,-0.4317050500078575,-0.04470868055749505
0,0.1,10,0,70,-0.4282182484056591,-0.0306015593108167
0,0.1,10,0,100,-0.4279116397725223,-0.01969258454209162
0,0.1,10,1,10,-0.5743941146357002,-0.32250375852675217
0,0.1,10,1,30,-0.4430482234782945,-0.11012470749781582
0,0.1,10,1,50,-0.4312247662994572,-0.0935806467125175
0,0.1,10,1,70,-0.43122366671066875,-0.09358058055007301
0,0.1,10,1,100,-0.4312235425807759,-0.09358057801624112
0,0.1,10,5,10,-0.5656823409840573,-0.3757530272536588
0,0.1,10,5,30,-0.4235783960206243,-0.18319228725965084
0,0.1,10,5,50,-0.41538092146778843,-0.17417513751451286
0,0.1,10,5,70,-0.41538041366249195,-0.17417513844584956
0,0.1,10,5,100,-0.41538036554891333,-0.17417519394034636
0,0.1,10,10,10,-0.5781967780393277,-0.41188611487536225
0,0.1,10,10,30,-0.42713935311330553,-0.22176215594908405
0,0.1,10,10,50,-0.4208932381297604,-0.213322557067562
0,0.1,10,10,70,-0.4208928474842749,-0.21332255936517877
0,0.1,10,10,100,-0.42089283186102244,-0.21332262992048343
0,0.1,30,0,10,-0.6031201219748581,-0.22157977174460228
0,0.1,30,0,30,-0.49640604411008893,-0.009331055897134765
0,0.1,30,0,50,-0.4945491790701554,-0.0005942823137206218
0,0.1,30,0,70,-0.4939546733363892,-4.9485442816958806e-05
0,0.1,30,0,100,-0.49368188633666304,-1.7072935189377177e-06
0,0.1,30,1,10,-0.5686191413811722,-0.2748377679498061
0,0.1,30,1,30,-0.4368021994114423,-0.08755945686118426
0,0.1,30,1,50,-0.4264223010882911,-0.07651424595801923
0,0.1,30,1,70,-0.42641496596167017,-0.07651418233795004
0,0.1,30,1,100,-0.4264139743898272,-0.07651418661348322
0,0.1,30,5,10,-0.566781012651476,-0.36743057606025564
0,0.1,30,5,30,-0.4252681236844289,-0.18065792894746682
0,0.1,30,5,50,-0.4184402513809967,-0.1698830505377819
0,0.1,30,5,70,-0.4184386490267616,-0.16988305153324412
0,0.1,30,5,100,-0.4184384611735176,-0.1698831030125018
0,0.1,30,10,10,-0.5773949354764915,-0.4102104818425151
0,0.1,30,10,30,-0.43102507483039626,-0.22036657447046282
0,0.1,30,10,50,-0.4240169746321733,-0.2106540478483509
0,0.1,30,10,70,-0.4240167031348392,-0.21065403886057044
0,0.1,30,10,100,-0.4240167248759371,-0.21065411023650388
0,0.1,50,0,10,-0.6031201190451375,-0.22157976251623263
0,0.1,50,0,30,-0.4961312903114578,-0.009342250731125906
0,0.1,50,0,50,-0.4932396646089945,-0.0005928023316245491
0,0.1,50,0,70,-0.49253188293658967,-4.9403432529465926e-05
0,0.1,50,0,100,-0.49243546753700773,-1.6645861309946583e-06
0,0.1,50,1,10,-0.5686191413811722,-0.2748377679498061
0,0.1,50,1,30,-0.4368021994114423,-0.08755945686118426
0,0.1,50,1,50,-0.4264223010882911,-0.07651424595801923
0,0.1,50,1,70,-0.42641496596167017,-0.07651418233795004
0,0.1,50,1,100,-0.4264139743898272,-0.07651418661348322
0,0.1,50,5,10,-0.566781012651476,-0.36743057606025564
0,0.1,50,5,30,-0.4252681236844289,-0.18065792894746682
0,0.1,50,5,50,-0.4184402513809967,-0.1698830505377819
0,0.1,50,5,70,-0.4184386490267616,-0.16988305153324412
0,0.1,50,5,100,-0.4184384611735176,-0.1698831030125018
0,0.1,50,10,10,-0.5773949354764915,-0.4102104818425151
0,0.1,50,10,30,-0.43102507483039626,-0.22036657447046282
0,0.1,50,10,50,-0.4240169746321733,-0.2106540478483509
0,0.1,50,10,70,-0.4240167031348392,-0.21065403886057044
0,0.1,50,10,100,-0.4240167248759371,-0.21065411023650388
0,0.2,3,0,10,-0.5759635975230253,-0.44691719482514014
0,0.2,3,0,30,-0.4487895011857508,-0.28734140112942896
0,0.2,3,0,50,-0.4209341874079414,-0.25476785086208154
0,0.2,3,0,70,-0.4184867780216526,-0.2362767111854629
0,0.2,3,0,100,-0.4064993291145774,-0.2162663832255157
0,0.2,3,1,10,-0.5759635975230253,-0.44691719482514014
0,0.2,3,1,30,-0.44882435607854737,-0.28735902521562345
0,0.2,3,1,50,-0.4201778048367535,-0.2547539801712949
0,0.2,3,1,70,-0.4125924954027688,-0.23552882933709185
0,0.2,3,1,100,-0.4031033459663732,-0.21776315952025463
0,0.2,3,5,10,-0.5759635975230253,-0.44691719482514014
0,0.2,3,5,30,-0.4475839839045769,-0.2878612602057688
0,0.2,3,5,50,-0.42801242007384827,-0.26669316734062015
0,0.2,3,5,70,-0.42801251638758747,-0.2666931729035794
0,0.2,3,5,100,-0.4280125206873076,-0.2666931713201281
0,0.2,3,10,10,-0.5759635975230253,-0.44691719482514014
0,0.2,3,10,30,-0.44858546442020125,-0.2902777829702713
0,0.2,3,10,50,-0.4456371893776757,-0.28644501268391304
0,0.2,3,10,70,-0.4456371720404492,-0.28644501610406264
0,0.2,3,10,100,-0.44563717177550843,-0.2864450155076364
0,0.2,5,0,10,-0.49920292867868943,-0.3279561008370523
0,0.2,5,0,30,-0.4035519387576324,-0.2065055001927068
0,0.2,5,0,50,-0.3996482404886246,-0.17172102545520543
0,0.2,5,0,70,-0.3965818647203195,-0.15124125536244612
0,0.2,5,0,100,-0.3980729129439972,-0.13040308954179766
0,0.2,5,1,10,-0.49968028823419114,-0.32810691892423194
0,0.2,5,1,30,-0.4203634848787824,-0.20674548000935822
0,0.2,5,1,50,-0.41926427931209675,-0.1783113307385981
0,0.2,5,1,70,-0.41926816068229134,-0.1783113374660687
0,0.2,5,1,100,-0.419268185037393,-0.17831134617638317
0,0.2,5,5,10,-0.504420874037066,-0.331789105278858
0,0.2,5,5,30,-0.4189802146900261,-0.23208633658599442
0,0.2,5,5,50,-0.41897942992825987,-0.23208634887626683
0,0.2,5,5,70,-0.41897943523377024,-0.23208635551836418
0,0.2,5,5,100,-0.4189794380875226,-0.23208635548821435
0,0.2,5,10,10,-0.497512812468378,-0.33414023854559494
0,0.2,5,10,30,-0.42517743681373715,-0.2499086691234041
0,0.2,5,10,50,-0.42517735887271835,-0.24990869840984273
0,0.2,5,10,70,-0.4251773679533832,-0.24990870564747053
0,0.2,5,10,100,-0.4251773707959843,-0.24990870612147612
0,0.2,7,0,10,-0.47181670172460943,-0.23993878268611982
0,0.2,7,0,30,-0.4189095575402802,-0.12645162915977326
0,0.2,7,0,50,-0.4184333069717602,-0.0931322599777653
0,0.2,7,0,70,-0.4174875276702693,-0.0750705908220803
0,0.2,7,0,100,-0.41992879481579665,-0.056095238960297986
0,0.2,7,1,10,-0.4646776255103863,-0.2429465659157412
0,0.2,7,1,30,-0.4131803979261556,-0.1436919857730086
0,0.2,7,1,50,-0.41318553220525256,-0.14369196708903254
0,0.2,7,1,70,-0.4131855708531556,-0.14369198308398792
0,0.2,7,1,100,-0.4131855754838084,-0.14369198469068198
0,0.2,7,5,10,-0.46537668790476694,-0.2599131079370617
0,0.2,7,5,30,-0.4225421677292691,-0.198231585383808
0,0.2,7,5,50,-0.4225421097983282,-0.19823160779038035
0,0.2,7,5,70,-0.4225421160126962,-0.19823161842723067
0,0.2,7,5,100,-0.4225421191428674,-0.1982316193747245
0,0.2,7,10,10,-0.480179827015703,-0.2815874397000216
0,0.2,7,10,30,-0.43611315991880567,-0.2264851764937891
0,0.2,7,10,50,-0.4361129665866102,-0.22648519995315727
0,0.2,7,10,70,-0.4361129748004253,-0.22648521194638055
0,0.2,7,10,100,-0.4361129766832531,-0.2264852125586092
0,0.2,10,0,10,-0.4716035303843157,-0.12501827884421093
0,0.2,10,0,30,-0.43753550957556575,-0.037391070126999854
0,0.2,10,0,50,-0.43928718095569763,-0.01992676818567598
0,0.2,10,0,70,-0.44133238304405664,-0.012326026414802408
0,0.2,10,0,100,-0.4435307536523531,-0.005932281382217174
0,0.2,10,1,10,-0.4633637958931455,-0.14473779220027405
0,0.2,10,1,30,-0.43047635430022363,-0.09503147019011447
0,0.2,10,1,50,-0.43047726338265263,-0.09503145845469671
0,0.2,10,1,70,-0.4304772793001165,-0.09503148850287316
0,0.2,10,1,100,-0.43047728344421204,-0.095031490176436
0,0.2,10,5,10,-0.45646316636574535,-0.21623281339448028
0,0.2,10,5,30,-0.424002534531985,-0.17285658821807126
0,0.2,10,5,50,-0.42400284580172354,-0.17285661773319133
0,0.2,10,5,70,-0.4240028502656375,-0.17285663019216507
0,0.2,10,5,100,-0.42400285168149165,-0.17285663079818853
0,0.2,10,10,10,-0.46700920366059123,-0.2582742839271909
0,0.2,10,10,30,-0.435210383523815,-0.21215477556494172
0,0.2,10,10,50,-0.43521062095205243,-0.21215480062815387
0,0.2,10,10,70,-0.4352106313628929,-0.21215481500124356
0,0.2,10,10,100,-0.4352106349452254,-0.21215481616883886
0,0.2,30,0,10,-0.5017551195458967,-0.03711726946412734
0,0.2,30,0,30,-0.4932278810571419,-0.00013003091727346075
0,0.2,30,0,50,-0.4926094975592211,-1.2596338803004452e-06
0,0.2,30,0,70,-0.4925588554474654,-2.5497434562039896e-07
0,0.2,30,0,100,-0.4925587346683245,-2.5506999561646444e-07
0,0.2,30,1,10,-0.4690692851960968,-0.11159013372204227
0,0.2,30,1,30,-0.44008793380028255,-0.07663838759034329
0,0.2,30,1,50,-0.4400876166622486,-0.07663838964710713
0,0.2,30,1,70,-0.44008761060122825,-0.07663842227279245
0,0.2,30,1,100,-0.4400876121145605,-0.0766384228399843
0,0.2,30,5,10,-0.45888171977180486,-0.2124154798238842
0,0.2,30,5,30,-0.4233745463052774,-0.17084823423552303
0,0.2,30,5,50,-0.4233741507608146,-0.1708482606513022
0,0.2,30,5,70,-0.42337416035701736,-0.17084827422825322
0,0.2,30,5,100,-0.42337416379329146,-0.1708482752646048
0,0.2,30,10,10,-0.4597787074295888,-0.2571547876379998
0,0.2,30,10,30,-0.4330793407685979,-0.21168407017097451
0,0.2,30,10,50,-0.4330789939067454,-0.2116841011550882
0,0.2,30,10,70,-0.4330790077967956,-0.21168411478908006
0,0.2,30,10,100,-0.43307901258376436,-0.2116841162567185
0,0.2,50,0,10,-0.501659941505516,-0.037104021415059765
0,0.2,50,0,30,-0.4930046093855647,-0.00012961990061401536
0,0.2,50,0,50,-0.49292432451011425,-1.2204242129479969e-06
0,0.2,50,0,70,-0.4928955903781317,-2.520861621246309e-07
0,0.2,50,0,100,-0.4928954984953434,-2.5217525641546397e-07
0,0.2,50,1,10,-0.4690692851960968,-0.11159013372204227
0,0.2,50,1,30,-0.44008793380028255,-0.07663838759034329
0,0.2,50,1,50,-0.4400876166622486,-0.07663838964710713
0,0.2,50,1,70,-0.44008761060122825,-0.07663842227279245
0,0.2,50,1,100,-0.4400876121145605,-0.0766384228399843
0,0.2,50,5,10,-0.45888171977180486,-0.2124154798238842
0,0.2,50,5,30,-0.4233745463052774,-0.17084823423552303
0,0.2,50,5,50,-0.4233741507608146,-0.1708482606513022
0,0.2,50,5,70,-0.42337416035701736,-0.17084827422825322
0,0.2,50,5,100,-0.42337416379329146,-0.1708482752646048
0,0.2,50,10,10,-0.4597787074295888,-0.2571547876379998
0,0.2,50,10,30,-0.4330793407685979,-0.21168407017097451
0,0.2,50,10,50,-0.4330789939067454,-0.2116841011550882
0,0.2,50,10,70,-0.4330790077967956,-0.21168411478908006
0,0.2,50,10,100,-0.43307901258376436,-0.2116841162567185
0,0.5,3,0,10,-0.4934352811549868,-0.3206230707350687
0,0.5,3,0,30,-0.46148076224270873,-0.24375681438206248
0,0.5,3,0,50,-0.44463616427249886,-0.21512145871629457
0,0.5,3,0,70,-0.44321757666902706,-0.19770214814980341
0,0.5,3,0,100,-0.4296276814241732,-0.17964211822769155
0,0.5,3,1,10,-0.4934352811549868,-0.3206230707350687
0,0.5,3,1,30,-0.46588259850197833,-0.24324930248105367
0,0.5,3,1,50,-0.45775423130596105,-0.215874008888732
0,0.5,3,1,70,-0.4520675079486883,-0.20551231667603745
0,0.5,3,1,100,-0.4520675446813551,-0.2055123165184746
0,0.5,3,5,10,-0.4939785935854541,-0.32072871795561725
0,0.5,3,5,30,-0.4569649860963886,-0.2666017670856799
0,0.5,3,5,50,-0.4569649563450568,-0.26660176928958484
0,0.5,3,5,70,-0.45696495803843645,-0.26660177017174785
0,0.5,3,5,100,-0.4569649601997597,-0.2666017714261799
0,0.5,3,10,10,-0.49294216803880025,-0.32132904303479026
0,0.5,3,10,30,-0.47126205010471905,-0.2892163157531954
0,0.5,3,10,50,-0.47126205050326586,-0.28921631589658814
0,0.5,3,10,70,-0.4712620506061235,-0.2892163164662608
0,0.5,3,10,100,-0.4712620504994506,-0.2892163171005279
0,0.5,5,0,10,-0.4614518884539467,-0.2324908805121285
0,0.5,5,0,30,-0.43354470722251987,-0.1622087901697891
0,0.5,5,0,50,-0.43336290832090746,-0.12916613105746202
0,0.5,5,0,70,-0.44700495340500446,-0.10835670123286316
0,0.5,5,0,100,-0.4602863434009393,-0.08617660457007288
0,0.5,5,1,10,-0.45534369762854965,-0.23253777869007458
0,0.5,5,1,30,-0.4319767391499122,-0.17409948896490013
0,0.5,5,1,50,-0.43197607580050157,-0.17409948718574278
0,0.5,5,1,70,-0.43197607555184925,-0.17409948729399125
0,0.5,5,1,100,-0.4319760751788806,-0.17409948746928705
0,0.5,5,5,10,-0.4580410247327958,-0.24559568488288647
0,0.5,5,5,30,-0.4570554050407639,-0.24290581255992247
0,0.5,5,5,50,-0.45705540478796813,-0.24290581182844054
0,0.5,5,5,70,-0.45705540453517424,-0.24290581125308108
0,0.5,5,5,100,-0.4570554041559866,-0.24290581108208825
0,0.5,5,10,10,-0.4608760827857717,-0.2687555240509838
0,0.5,5,10,30,-0.46087532281610866,-0.26875552519421664
0,0.5,5,10,50,-0.4608753221949387,-0.26875552499425387
0,0.5,5,10,70,-0.46087532157377015,-0.2687555247942928
0,0.5,5,10,100,-0.46087532064202,-0.26875552449435414
0,0.5,7,0,10,-0.45503801988180737,-0.15309392895590934
0,0.5,7,0,30,-0.466147359358936,-0.0815020332214104
0,0.5,7,0,50,-0.4801928934053149,-0.05267172510150869
0,0.5,7,0,70,-0.4863387467282223,-0.03543973637530879
0,0.5,7,0,100,-0.48868047348911114,-0.0211143356650354
0,0.5,7,1,10,-0.44208395298036607,-0.16242571925614274
0,0.5,7,1,30,-0.4429842982482889,-0.14801145685465908
0,0.5,7,1,50,-0.44298429702889386,-0.14801145608381058
0,0.5,7,1,70,-0.4429842958095017,-0.14801145531478593
0,0.5,7,1,100,-0.4429842939804189,-0.14801145444106759
0,0.5,7,5,10,-0.4498030404701966,-0.21262804603009772
0,0.5,7,5,30,-0.44980233056066715,-0.21262804628255036
0,0.5,7,5,50,-0.44980233023738114,-0.21262804592430906
0,0.5,7,5,70,-0.4498023299140959,-0.21262804556607023
0,0.5,7,5,100,-0.44980232942917003,-0.2126280450287167
0,0.5,7,10,10,-0.47718527458461946,-0.24411010486013943
0,0.5,7,10,30,-0.47718576649108896,-0.24411010941708705
0,0.5,7,10,50,-0.47718576624708087,-0.24411010915655806
0,0.5,7,10,70,-0.47718576600307355,-0.24411010889603033
0,0.5,7,10,100,-0.4771857656370642,-0.2441101085052407
0,0.5,10,0,10,-0.48874261277472864,-0.05157854783919621
0,0.5,10,0,30,-0.5003228510841369,-0.013506581139351834
0,0.5,10,0,50,-0.5010560840480484,-0.004246524536335822
0,0.5,10,0,70,-0.5019169812968407,-0.0013896369365709667
0,0.5,10,0,100,-0.5027097650582941,-0.0002600103836497828
0,0.5,10,1,10,-0.47749253448331935,-0.10362611339317322
0,0.5,10,1,30,-0.4774967177116721,-0.10362610061117165
0,0.5,10,1,50,-0.4774967176133371,-0.10362610047478571
0,0.5,10,1,70,-0.4774967175150023,-0.10362610033840133
0,0.5,10,1,100,-0.4774967173675007,-0.10362610014502253
0,0.5,10,5,10,-0.46304982271784495,-0.18841938420170362
0,0.5,10,5,30,-0.463050692128968,-0.1884193905753802
0,0.5,10,5,50,-0.463050692128968,-0.1884193905511244
0,0.5,10,5,70,-0.463050692128968,-0.18841939052686868
